,Outlier,comment_count,down_votes,post_id,reputation,score,up_votes,user_id,view_count,views
2385,reputation,0,97,36912191,235072,0,927,6068,19,10965
2386,reputation,0,97,29285164,235072,1,927,6068,17,10965
2387,reputation,0,30,37433133,31280,0,2174,15393,8,2305
2388,reputation,0,100,35865657,22378,0,629,302533,16,2385
2389,reputation,0,100,30927087,22378,0,629,302533,17,2385
2424,reputation,0,707,37254140,32662,1,2579,1612146,16,2318
2449,reputation,0,182,37271747,15546,0,1564,67258,17,1848
2456,reputation,0,1,28895410,12574,0,11,787762,20,193
2471,reputation,0,7,35744661,13589,0,148,93613,19,1192
2472,reputation,0,45,35439724,65634,0,1522,95944,20,4584
2479,reputation,0,10,36941180,15157,0,1456,623519,16,402
2480,reputation,1,10,17315725,15157,1,1456,623519,14,402
2481,reputation,0,10,32903526,15157,0,1456,623519,14,402
2482,reputation,0,10,37189687,15157,0,1456,623519,10,402
2483,reputation,0,10,37566148,15157,0,1456,623519,12,402
2569,reputation,0,759,26841113,20302,0,1361,3436942,19,2485
2574,reputation,4,31,33397274,17062,0,244,56007,20,608
2582,reputation,0,1233,35731272,68266,2,3551,1066031,18,4633
2583,reputation,3,2,30192543,12568,2,1820,1071383,20,475
2584,reputation,2,2,31141928,12568,0,1820,1071383,20,475
2585,reputation,0,1294,33287672,24767,1,2417,1352288,9,2187
2586,reputation,2,1294,33610945,24767,1,2417,1352288,20,2187
2587,reputation,1,1294,27203954,24767,1,2417,1352288,20,2187
2596,reputation,4,1648,36012966,279695,0,1406,507674,18,22360
2613,reputation,0,44,37647676,19231,0,812,240363,13,2131
2614,reputation,1,44,36016686,19231,0,812,240363,17,2131
2615,reputation,2,44,31158772,19231,0,812,240363,14,2131
2616,reputation,0,44,35655901,19231,0,812,240363,9,2131
2617,reputation,5,44,23643514,19231,0,812,240363,16,2131
2626,reputation,2,180,25392671,15300,0,850,2089006,19,978
2627,reputation,2,180,26961358,15300,0,850,2089006,15,978
2628,reputation,0,180,35295927,15300,0,850,2089006,13,978
2629,reputation,0,180,36889000,15300,0,850,2089006,14,978
2672,reputation,2,267,29386926,12746,0,1905,2541,20,3832
2705,reputation,2,29,33334096,10803,0,48,4396258,19,170
2737,reputation,0,12,37274899,10838,0,422,457148,17,639
2738,reputation,2,12,25269302,10838,0,422,457148,19,639
2739,reputation,0,12,37342011,10838,0,422,457148,9,639
2740,reputation,4,23,37764847,11118,0,1339,499699,9,632
2760,reputation,1,8,36798533,48170,1,435,449856,16,2380
2789,reputation,0,33,33527000,47519,1,943,5017,17,3083
2790,reputation,0,3,34311777,22996,0,2443,94278,16,2215
2791,reputation,0,3,28452495,22996,0,2443,94278,19,2215
2792,reputation,0,3,37392816,22996,0,2443,94278,19,2215
2793,reputation,0,3,31134118,22996,1,2443,94278,14,2215
2794,reputation,0,3,33868901,22996,1,2443,94278,16,2215
